site,impl,n,procs,threads,dist,chunk,run,rank,compute,count
caas-2node,mpi,1000000,8,1,wblock,1024,2,4,0.009865,7521
caas-2node,mpi,1000000,8,1,wblock,1024,2,5,0.009593,6980
caas-2node,mpi,1000000,8,1,wblock,1024,2,6,0.009416,6516
caas-2node,mpi,1000000,8,1,wblock,1024,2,7,0.009609,6144
caas-2node,mpi,1000000,8,1,wblock,1024,3,0,0.011720,22044
caas-2node,mpi,1000000,8,1,wblock,1024,3,1,0.010406,11565
caas-2node,mpi,1000000,8,1,wblock,1024,3,2,0.010123,9453
caas-2node,mpi,1000000,8,1,wblock,1024,3,3,0.009809,8275
caas-2node,mpi,1000000,8,1,wblock,1024,3,4,0.021170,7521
caas-2node,mpi,1000000,8,1,wblock,1024,3,5,0.009521,6980
caas-2node,mpi,1000000,8,1,wblock,1024,3,6,0.009358,6516
caas-2node,mpi,1000000,8,1,wblock,1024,3,7,0.017139,6144
caas-2node,mpi,2000000,8,1,block,1024,1,0,0.011681,22044
caas-2node,mpi,2000000,8,1,block,1024,1,1,0.018667,19494
caas-2node,mpi,2000000,8,1,block,1024,1,2,0.022838,18700
caas-2node,mpi,2000000,8,1,block,1024,1,3,0.026188,18260
caas-2node,mpi,2000000,8,1,block,1024,1,4,0.029303,17971
caas-2node,mpi,2000000,8,1,block,1024,1,5,0.031534,17686
caas-2node,mpi,2000000,8,1,block,1024,1,6,0.033697,17453
caas-2node,mpi,2000000,8,1,block,1024,1,7,0.035717,17325
caas-2node,mpi,2000000,8,1,block,1024,2,0,0.011666,22044
caas-2node,mpi,2000000,8,1,block,1024,2,1,0.018713,19494
caas-2node,mpi,2000000,8,1,block,1024,2,2,0.022895,18700
caas-2node,mpi,2000000,8,1,block,1024,2,3,0.026200,18260
caas-2node,mpi,2000000,8,1,block,1024,2,4,0.029095,17971
caas-2node,mpi,2000000,8,1,block,1024,2,5,0.032004,17686
caas-2node,mpi,2000000,8,1,block,1024,2,6,0.033623,17453
caas-2node,mpi,2000000,8,1,block,1024,2,7,0.035650,17325
caas-2node,mpi,2000000,8,1,block,1024,3,0,0.024685,22044
caas-2node,mpi,2000000,8,1,block,1024,3,1,0.031687,19494
caas-2node,mpi,2000000,8,1,block,1024,3,2,0.022864,18700
caas-2node,mpi,2000000,8,1,block,1024,3,3,0.026170,18260
caas-2node,mpi,2000000,8,1,block,1024,3,4,0.029033,17971
caas-2node,mpi,2000000,8,1,block,1024,3,5,0.031437,17686
caas-2node,mpi,2000000,8,1,block,1024,3,6,0.065852,17453
caas-2node,mpi,2000000,8,1,block,1024,3,7,0.035676,17325
