site,impl,n,procs,threads,dist,chunk,run,rank,compute,count
caas-1node,mpi,1000000,8,1,block,1024,1,0,0.004509,11734
caas-1node,mpi,1000000,8,1,block,1024,1,1,0.007164,10310
caas-1node,mpi,1000000,8,1,block,1024,1,2,0.008726,9860
caas-1node,mpi,1000000,8,1,block,1024,1,3,0.009966,9634
caas-1node,mpi,1000000,8,1,block,1024,1,4,0.011021,9448
caas-1node,mpi,1000000,8,1,block,1024,1,5,0.011901,9252
caas-1node,mpi,1000000,8,1,block,1024,1,6,0.012773,9210
caas-1node,mpi,1000000,8,1,block,1024,1,7,0.013464,9050
caas-1node,mpi,1000000,8,1,block,1024,2,0,0.004532,11734
caas-1node,mpi,1000000,8,1,block,1024,2,1,0.007174,10310
caas-1node,mpi,1000000,8,1,block,1024,2,2,0.008735,9860
caas-1node,mpi,1000000,8,1,block,1024,2,3,0.009978,9634
caas-1node,mpi,1000000,8,1,block,1024,2,4,0.011009,9448
caas-1node,mpi,1000000,8,1,block,1024,2,5,0.011905,9252
caas-1node,mpi,1000000,8,1,block,1024,2,6,0.012750,9210
caas-1node,mpi,1000000,8,1,block,1024,2,7,0.013469,9050
caas-1node,mpi,1000000,8,1,block,1024,3,0,0.004518,11734
caas-1node,mpi,1000000,8,1,block,1024,3,1,0.007156,10310
caas-1node,mpi,1000000,8,1,block,1024,3,2,0.008723,9860
caas-1node,mpi,1000000,8,1,block,1024,3,3,0.009967,9634
caas-1node,mpi,1000000,8,1,block,1024,3,4,0.011027,9448
caas-1node,mpi,1000000,8,1,block,1024,3,5,0.011934,9252
caas-1node,mpi,1000000,8,1,block,1024,3,6,0.012763,9210
caas-1node,mpi,1000000,8,1,block,1024,3,7,0.013458,9050
caas-1node,mpi,1000000,8,1,cyclic,1024,1,0,0.009991,9839
caas-1node,mpi,1000000,8,1,cyclic,1024,1,1,0.009996,9816
caas-1node,mpi,1000000,8,1,cyclic,1024,1,2,0.009956,9832
caas-1node,mpi,1000000,8,1,cyclic,1024,1,3,0.010027,9791
caas-1node,mpi,1000000,8,1,cyclic,1024,1,4,0.010013,9815
caas-1node,mpi,1000000,8,1,cyclic,1024,1,5,0.010029,9807
caas-1node,mpi,1000000,8,1,cyclic,1024,1,6,0.009981,9837
caas-1node,mpi,1000000,8,1,cyclic,1024,1,7,0.010045,9761
caas-1node,mpi,1000000,8,1,cyclic,1024,2,0,0.009972,9839
caas-1node,mpi,1000000,8,1,cyclic,1024,2,1,0.009962,9816
caas-1node,mpi,1000000,8,1,cyclic,1024,2,2,0.009985,9832
caas-1node,mpi,1000000,8,1,cyclic,1024,2,3,0.009972,9791
caas-1node,mpi,1000000,8,1,cyclic,1024,2,4,0.009958,9815
caas-1node,mpi,1000000,8,1,cyclic,1024,2,5,0.009976,9807
caas-1node,mpi,1000000,8,1,cyclic,1024,2,6,0.010000,9837
caas-1node,mpi,1000000,8,1,cyclic,1024,2,7,0.009970,9761
caas-1node,mpi,1000000,8,1,cyclic,1024,3,0,0.009965,9839
caas-1node,mpi,1000000,8,1,cyclic,1024,3,1,0.009928,9816
caas-1node,mpi,1000000,8,1,cyclic,1024,3,2,0.009947,9832
caas-1node,mpi,1000000,8,1,cyclic,1024,3,3,0.009960,9791
caas-1node,mpi,1000000,8,1,cyclic,1024,3,4,0.009950,9815
caas-1node,mpi,1000000,8,1,cyclic,1024,3,5,0.009945,9807
caas-1node,mpi,1000000,8,1,cyclic,1024,3,6,0.009990,9837
caas-1node,mpi,1000000,8,1,cyclic,1024,3,7,0.009974,9761
caas-1node,mpi,1000000,8,1,blockcyclic,1024,1,0,0.009963,9994
caas-1node,mpi,1000000,8,1,blockcyclic,1024,1,1,0.009842,9809
caas-1node,mpi,1000000,8,1,blockcyclic,1024,1,2,0.009880,9844
caas-1node,mpi,1000000,8,1,blockcyclic,1024,1,3,0.010005,9839
caas-1node,mpi,1000000,8,1,blockcyclic,1024,1,4,0.009937,9822
caas-1node,mpi,1000000,8,1,blockcyclic,1024,1,5,0.009953,9690
caas-1node,mpi,1000000,8,1,blockcyclic,1024,1,6,0.010027,9784
caas-1node,mpi,1000000,8,1,blockcyclic,1024,1,7,0.009980,9716
caas-1node,mpi,1000000,8,1,blockcyclic,1024,2,0,0.009963,9994
caas-1node,mpi,1000000,8,1,blockcyclic,1024,2,1,0.009858,9809
caas-1node,mpi,1000000,8,1,blockcyclic,1024,2,2,0.009897,9844
caas-1node,mpi,1000000,8,1,blockcyclic,1024,2,3,0.009978,9839
caas-1node,mpi,1000000,8,1,blockcyclic,1024,2,4,0.009920,9822
caas-1node,mpi,1000000,8,1,blockcyclic,1024,2,5,0.009960,9690
caas-1node,mpi,1000000,8,1,blockcyclic,1024,2,6,0.010036,9784
caas-1node,mpi,1000000,8,1,blockcyclic,1024,2,7,0.010005,9716
caas-1node,mpi,1000000,8,1,blockcyclic,1024,3,0,0.009956,9994
caas-1node,mpi,1000000,8,1,blockcyclic,1024,3,1,0.009835,9809
caas-1node,mpi,1000000,8,1,blockcyclic,1024,3,2,0.009890,9844
caas-1node,mpi,1000000,8,1,blockcyclic,1024,3,3,0.009998,9839
caas-1node,mpi,1000000,8,1,blockcyclic,1024,3,4,0.009935,9822
caas-1node,mpi,1000000,8,1,blockcyclic,1024,3,5,0.009949,9690
caas-1node,mpi,1000000,8,1,blockcyclic,1024,3,6,0.010046,9784
caas-1node,mpi,1000000,8,1,blockcyclic,1024,3,7,0.009992,9716
caas-1node,mpi,1000000,8,1,wblock,1024,1,0,0.011711,22044
caas-1node,mpi,1000000,8,1,wblock,1024,1,1,0.010414,11565
caas-1node,mpi,1000000,8,1,wblock,1024,1,2,0.010046,9453
caas-1node,mpi,1000000,8,1,wblock,1024,1,3,0.009788,8275
caas-1node,mpi,1000000,8,1,wblock,1024,1,4,0.009631,7521
caas-1node,mpi,1000000,8,1,wblock,1024,1,5,0.009513,6980
caas-1node,mpi,1000000,8,1,wblock,1024,1,6,0.009372,6516
caas-1node,mpi,1000000,8,1,wblock,1024,1,7,0.009281,6144
caas-1node,mpi,1000000,8,1,wblock,1024,2,0,0.011710,22044
caas-1node,mpi,1000000,8,1,wblock,1024,2,1,0.010417,11565
caas-1node,mpi,1000000,8,1,wblock,1024,2,2,0.010026,9453
caas-1node,mpi,1000000,8,1,wblock,1024,2,3,0.009795,8275
caas-1node,mpi,1000000,8,1,wblock,1024,2,4,0.009619,7521
caas-1node,mpi,1000000,8,1,wblock,1024,2,5,0.009494,6980
caas-1node,mpi,1000000,8,1,wblock,1024,2,6,0.009390,6516
