site,impl,n,procs,threads,dist,chunk,sched,sched_chunk,run,total,bcast,comp_max,comp_min,comp_avg,gather,merge,write,count,wall
caas-2node,mpi,6000000,8,1,cyclic,1024,-,0,1,0.157579,0.000015,0.123173,0.122257,0.122614,0.018352,0.008717,0.008239,412849,0.798079
caas-2node,mpi,6000000,8,1,cyclic,1024,-,0,2,0.147656,0.000016,0.122895,0.122234,0.122525,0.008476,0.008756,0.008175,412849,0.746230
caas-2node,mpi,6000000,8,1,cyclic,1024,-,0,3,0.158721,0.000020,0.124461,0.122270,0.122846,0.018962,0.008762,0.008170,412849,0.766160
caas-2node,mpi,6000000,8,1,blockcyclic,1024,-,0,1,0.211829,0.000020,0.192962,0.122340,0.132886,0.078897,0.002192,0.008350,412849,0.841537
caas-2node,mpi,6000000,8,1,blockcyclic,1024,-,0,2,0.146578,0.000021,0.123516,0.122655,0.123043,0.012096,0.002459,0.009345,412849,0.762634
caas-2node,mpi,6000000,8,1,blockcyclic,1024,-,0,3,0.169198,0.000025,0.124650,0.122517,0.123523,0.029758,0.003405,0.012449,412849,0.803498
caas-2node,mpi,6000000,8,1,wblock,1024,-,0,1,0.158315,0.000017,0.141023,0.115722,0.122854,0.007807,0.000000,0.009468,412849,0.806809
caas-2node,mpi,6000000,8,1,wblock,1024,-,0,2,0.191821,0.000010,0.162447,0.115525,0.128869,0.036750,0.000000,0.009250,412849,0.914358
caas-2node,mpi,6000000,8,1,wblock,1024,-,0,3,0.225725,0.000037,0.181553,0.115414,0.146869,0.043373,0.000000,0.012561,412849,1.908103
caas-2node,mpi,8000000,8,1,block,1024,-,0,1,0.319568,0.000042,0.295526,0.158094,0.213816,0.146713,0.000000,0.014719,539777,1.245910
caas-2node,mpi,8000000,8,1,block,1024,-,0,2,0.280708,0.000018,0.255908,0.079428,0.184516,0.189132,0.000000,0.012129,539777,0.883091
caas-2node,mpi,8000000,8,1,block,1024,-,0,3,0.290910,0.000021,0.256293,0.079293,0.185353,0.200307,0.000000,0.011290,539777,0.898266
caas-2node,mpi,8000000,8,1,cyclic,1024,-,0,1,0.220160,0.000018,0.185333,0.183796,0.184428,0.013407,0.011842,0.011096,539777,1.392301
caas-2node,mpi,8000000,8,1,cyclic,1024,-,0,2,0.217243,0.000024,0.184068,0.183611,0.183763,0.010538,0.011691,0.011233,539777,0.831666
caas-2node,mpi,8000000,8,1,cyclic,1024,-,0,3,0.218681,0.000029,0.183868,0.183603,0.183771,0.011878,0.011951,0.011220,539777,0.825159
caas-2node,mpi,8000000,8,1,blockcyclic,1024,-,0,1,0.207906,0.000016,0.184386,0.182953,0.183648,0.009545,0.003072,0.012320,539777,0.819343
caas-2node,mpi,8000000,8,1,blockcyclic,1024,-,0,2,0.206188,0.000015,0.184277,0.182968,0.183693,0.008626,0.003096,0.011482,539777,0.815481
caas-2node,mpi,8000000,8,1,blockcyclic,1024,-,0,3,0.212461,0.000015,0.184704,0.183433,0.184128,0.013909,0.003126,0.011205,539777,0.807307
caas-2node,mpi,8000000,8,1,wblock,1024,-,0,1,0.230645,0.000016,0.208600,0.175861,0.186096,0.010822,0.000000,0.011207,539777,0.832348
caas-2node,mpi,8000000,8,1,wblock,1024,-,0,2,0.227791,0.000017,0.208725,0.173387,0.183577,0.007659,0.000000,0.011390,539777,0.819146
caas-2node,mpi,8000000,8,1,wblock,1024,-,0,3,0.228218,0.000007,0.208689,0.173541,0.183658,0.008118,0.000000,0.011404,539777,0.822421
caas-2node,mpi,10000000,8,1,block,1024,-,0,1,0.374010,0.000018,0.346310,0.109223,0.252116,0.251248,0.000000,0.013520,664579,0.970574
caas-2node,mpi,10000000,8,1,block,1024,-,0,2,0.371166,0.000016,0.346612,0.108353,0.252248,0.248914,0.000000,0.013883,664579,0.970572
caas-2node,mpi,10000000,8,1,block,1024,-,0,3,0.386618,0.000015,0.349104,0.118131,0.254421,0.254741,0.000000,0.013731,664579,0.991315
caas-2node,mpi,10000000,8,1,cyclic,1024,-,0,1,0.290242,0.000018,0.253035,0.251853,0.252346,0.009114,0.014567,0.013507,664579,0.887683
caas-2node,mpi,10000000,8,1,cyclic,1024,-,0,2,0.294856,0.000014,0.252002,0.251614,0.251884,0.015020,0.014497,0.013499,664579,0.899629
caas-2node,mpi,10000000,8,1,cyclic,1024,-,0,3,0.298532,0.000019,0.252228,0.251598,0.251944,0.018376,0.014521,0.014018,664579,0.937340
caas-2node,mpi,10000000,8,1,blockcyclic,1024,-,0,1,0.303140,0.000017,0.273813,0.251172,0.255576,0.033574,0.003776,0.014600,664579,1.046922
caas-2node,mpi,10000000,8,1,blockcyclic,1024,-,0,2,0.282174,0.000015,0.252979,0.251311,0.252035,0.013417,0.003871,0.013559,664579,0.911156
caas-2node,mpi,10000000,8,1,blockcyclic,1024,-,0,3,0.294509,0.000014,0.259741,0.251551,0.252777,0.025479,0.003738,0.013672,664579,1.015446
caas-2node,mpi,10000000,8,1,wblock,1024,-,0,1,0.347353,0.000015,0.323316,0.237966,0.262740,0.010544,0.000000,0.013478,664579,0.989856
caas-2node,mpi,10000000,8,1,wblock,1024,-,0,2,0.311651,0.000016,0.285101,0.238087,0.251587,0.012932,0.000000,0.013602,664579,0.947607
caas-2node,mpi,10000000,8,1,wblock,1024,-,0,3,0.309001,0.000017,0.285180,0.238040,0.251601,0.010299,0.000000,0.013506,664579,0.927234
caas-2node,mpi,14000000,8,1,block,1024,-,0,1,0.617420,0.000017,0.558714,0.173045,0.405093,0.425531,0.000000,0.018826,910077,1.215890
caas-2node,mpi,14000000,8,1,block,1024,-,0,2,0.591206,0.000016,0.559142,0.172956,0.405275,0.399449,0.000000,0.018785,910077,1.208283
caas-2node,mpi,14000000,8,1,block,1024,-,0,3,0.597772,0.000016,0.558418,0.172957,0.405084,0.400703,0.000000,0.024096,910077,1.204488
caas-2node,mpi,14000000,8,1,cyclic,1024,-,0,1,0.532979,0.000016,0.465856,0.405137,0.423869,0.036399,0.019780,0.018368,910077,1.197284
caas-2node,mpi,14000000,8,1,cyclic,1024,-,0,2,0.467602,0.000016,0.407017,0.405021,0.405607,0.020303,0.019563,0.022471,910077,1.080420
caas-2node,mpi,14000000,8,1,cyclic,1024,-,0,3,0.471833,0.000024,0.414120,0.405235,0.406702,0.024834,0.019320,0.022408,910077,1.121994
caas-2node,mpi,14000000,8,1,blockcyclic,1024,-,0,1,0.455128,0.000015,0.406538,0.404626,0.405535,0.022022,0.005193,0.023272,910077,1.098455
caas-2node,mpi,14000000,8,1,blockcyclic,1024,-,0,2,0.445388,0.000021,0.406344,0.404482,0.405519,0.016382,0.004808,0.019695,910077,1.151622
caas-2node,mpi,14000000,8,1,blockcyclic,1024,-,0,3,0.467791,0.000025,0.406127,0.404320,0.405412,0.038401,0.005016,0.020029,910077,1.078771
caas-2node,mpi,14000000,8,1,wblock,1024,-,0,1,0.487453,0.000015,0.457523,0.384966,0.405459,0.010649,0.000000,0.019266,910077,1.079665
caas-2node,mpi,14000000,8,1,wblock,1024,-,0,2,0.489750,0.000015,0.457391,0.384881,0.405501,0.012645,0.000000,0.019699,910077,1.136209
caas-2node,mpi,14000000,8,1,wblock,1024,-,0,3,0.498909,0.000018,0.457962,0.392506,0.409940,0.013100,0.000000,0.027829,910077,1.103775
caas-2node,mpi,18000000,8,1,block,1024,-,0,1,0.852932,0.000018,0.805711,0.246269,0.582002,0.577709,0.000000,0.028936,1151367,1.503532
caas-2node,mpi,18000000,8,1,block,1024,-,0,2,0.846170,0.000015,0.805717,0.246065,0.583814,0.573263,0.000000,0.026826,1151367,1.479379
caas-2node,mpi,18000000,8,1,block,1024,-,0,3,0.885858,0.000015,0.841850,0.245994,0.594567,0.612714,0.000000,0.027134,1151367,1.513943
caas-2node,mpi,18000000,8,1,cyclic,1024,-,0,1,0.670411,0.000016,0.579781,0.578474,0.579281,0.038394,0.024236,0.028416,1151367,1.295893
caas-2node,mpi,18000000,8,1,cyclic,1024,-,0,2,0.672503,0.000015,0.600276,0.578700,0.585377,0.034778,0.024187,0.034118,1151367,1.280478
caas-2node,mpi,18000000,8,1,cyclic,1024,-,0,3,0.655031,0.000017,0.585539,0.578969,0.582252,0.022522,0.024311,0.027317,1151367,1.260818
caas-2node,mpi,18000000,8,1,blockcyclic,1024,-,0,1,0.636480,0.000017,0.580705,0.578435,0.578873,0.015775,0.005737,0.036515,1151367,1.249225
caas-2node,mpi,18000000,8,1,blockcyclic,1024,-,0,2,0.631137,0.000019,0.580688,0.578215,0.579017,0.016324,0.006039,0.030100,1151367,1.235106
caas-2node,mpi,18000000,8,1,blockcyclic,1024,-,0,3,0.768480,0.000018,0.713502,0.578364,0.613074,0.155018,0.005880,0.029201,1151367,1.380396
caas-2node,mpi,18000000,8,1,wblock,1024,-,0,1,0.878536,0.000007,0.825646,0.553071,0.613659,0.195080,0.000000,0.031479,1151367,1.505527
caas-2node,mpi,18000000,8,1,wblock,1024,-,0,2,0.697240,0.000015,0.651796,0.551264,0.578898,0.014807,0.000000,0.030622,1151367,1.402270
caas-2node,mpi,18000000,8,1,wblock,1024,-,0,3,0.885515,0.000016,0.846048,0.553733,0.652125,0.013504,0.000000,0.025947,1151367,1.513253
caas-2node,mpi,20000000,8,1,block,1024,-,0,1,0.980289,0.000016,0.930880,0.285035,0.673274,0.663975,0.000001,0.031262,1270607,1.606553
caas-2node,mpi,20000000,8,1,block,1024,-,0,2,1.037749,0.000018,0.988251,0.285115,0.682079,0.721137,0.000000,0.031479,1270607,1.675975
caas-2node,mpi,20000000,8,1,block,1024,-,0,3,0.994807,0.000017,0.930859,0.285321,0.674080,0.677806,0.000000,0.031663,1270607,1.597152
caas-2node,mpi,20000000,8,1,cyclic,1024,-,0,1,0.770944,0.000016,0.681412,0.672057,0.674273,0.033648,0.026742,0.038119,1270607,1.375615
caas-2node,mpi,20000000,8,1,cyclic,1024,-,0,2,0.756447,0.000017,0.676167,0.672163,0.673574,0.018322,0.026937,0.038613,1270607,1.357483
caas-2node,mpi,20000000,8,1,cyclic,1024,-,0,3,0.827966,0.000016,0.740561,0.673315,0.703834,0.083928,0.027146,0.041764,1270607,1.463079
caas-2node,mpi,20000000,8,1,blockcyclic,1024,-,0,1,0.731125,0.000019,0.675749,0.671840,0.672879,0.020448,0.006770,0.031880,1270607,1.377717
caas-2node,mpi,20000000,8,1,blockcyclic,1024,-,0,2,0.728957,0.000032,0.675766,0.671737,0.673169,0.017404,0.006438,0.031930,1270607,1.346245
caas-2node,mpi,20000000,8,1,blockcyclic,1024,-,0,3,0.737692,0.000015,0.674490,0.671727,0.672687,0.027749,0.006647,0.030935,1270607,1.583122
