site,impl,n,procs,threads,dist,chunk,sched,sched_chunk,run,total,bcast,comp_max,comp_min,comp_avg,gather,merge,write,count,wall
caas-1node,serial,1000000,1,1,-,0,-,0,1,0.087315,,0.080097,,,,,,78498,0.087315
caas-1node,serial,1000000,1,1,-,0,-,0,2,0.088549,,0.080406,,,,,,78498,0.088549
caas-1node,serial,1000000,1,1,-,0,-,0,3,0.087893,,0.080172,,,,,,78498,0.087893
caas-1node,serial,2000000,1,1,-,0,-,0,1,0.222130,,0.210635,,,,,,148933,0.222130
caas-1node,serial,2000000,1,1,-,0,-,0,2,0.221954,,0.210442,,,,,,148933,0.221954
caas-1node,serial,2000000,1,1,-,0,-,0,3,0.222100,,0.210550,,,,,,148933,0.222100
caas-1node,serial,4000000,1,1,-,0,-,0,1,0.575063,,0.555631,,,,,,283146,0.575063
caas-1node,serial,4000000,1,1,-,0,-,0,2,0.574928,,0.555584,,,,,,283146,0.574928
caas-1node,serial,4000000,1,1,-,0,-,0,3,0.578067,,0.557783,,,,,,283146,0.578067
caas-1node,serial,6000000,1,1,-,0,-,0,1,1.614396,,1.571951,,,,,,412849,1.614396
caas-1node,serial,6000000,1,1,-,0,-,0,2,1.427080,,1.398388,,,,,,412849,1.427080
caas-1node,serial,6000000,1,1,-,0,-,0,3,1.011863,,0.983758,,,,,,412849,1.011863
caas-1node,serial,8000000,1,1,-,0,-,0,1,2.191237,,2.136144,,,,,,539777,2.191237
caas-1node,serial,8000000,1,1,-,0,-,0,2,1.810662,,1.775050,,,,,,539777,1.810662
caas-1node,serial,8000000,1,1,-,0,-,0,3,1.509179,,1.474488,,,,,,539777,1.509179
caas-1node,serial,10000000,1,1,-,0,-,0,1,2.110174,,2.068773,,,,,,664579,2.110174
caas-1node,serial,10000000,1,1,-,0,-,0,2,2.409356,,2.367425,,,,,,664579,2.409356
caas-1node,serial,10000000,1,1,-,0,-,0,3,2.418905,,2.376876,,,,,,664579,2.418905
caas-1node,serial,14000000,1,1,-,0,-,0,1,4.543253,,4.481230,,,,,,910077,4.543253
caas-1node,serial,14000000,1,1,-,0,-,0,2,3.327731,,3.266019,,,,,,910077,3.327731
caas-1node,serial,14000000,1,1,-,0,-,0,3,3.313377,,3.251029,,,,,,910077,3.313377
caas-1node,serial,18000000,1,1,-,0,-,0,1,4.716500,,4.641854,,,,,,1151367,4.716500
caas-1node,serial,18000000,1,1,-,0,-,0,2,4.723003,,4.640736,,,,,,1151367,4.723003
caas-1node,serial,18000000,1,1,-,0,-,0,3,4.999859,,4.920358,,,,,,1151367,4.999859
caas-1node,serial,20000000,1,1,-,0,-,0,1,5.474474,,5.389632,,,,,,1270607,5.474474
caas-1node,serial,20000000,1,1,-,0,-,0,2,5.475674,,5.389727,,,,,,1270607,5.475674
caas-1node,serial,20000000,1,1,-,0,-,0,3,5.485290,,5.389388,,,,,,1270607,5.485290
caas-1node,mpi,1000000,8,1,block,1024,-,0,1,0.015554,0.000006,0.013464,0.004509,0.009941,0.009642,0.000000,0.001396,78498,0.941428
caas-1node,mpi,1000000,8,1,block,1024,-,0,2,0.017019,0.000007,0.013469,0.004532,0.009944,0.009641,0.000000,0.002839,78498,0.916737
caas-1node,mpi,1000000,8,1,block,1024,-,0,3,0.015973,0.000006,0.013458,0.004518,0.009943,0.009616,0.000000,0.001834,78498,0.920321
caas-1node,mpi,1000000,8,1,cyclic,1024,-,0,1,0.014455,0.000006,0.010045,0.009956,0.010005,0.000779,0.001836,0.001844,78498,0.910305
caas-1node,mpi,1000000,8,1,cyclic,1024,-,0,2,0.014354,0.000011,0.010000,0.009958,0.009974,0.000701,0.001806,0.001865,78498,0.914055
caas-1node,mpi,1000000,8,1,cyclic,1024,-,0,3,0.014491,0.000006,0.009990,0.009928,0.009957,0.000721,0.001892,0.001907,78498,0.919309
caas-1node,mpi,1000000,8,1,blockcyclic,1024,-,0,1,0.013152,0.000006,0.010027,0.009842,0.009949,0.000729,0.000588,0.001867,78498,0.926927
caas-1node,mpi,1000000,8,1,blockcyclic,1024,-,0,2,0.013064,0.000006,0.010036,0.009858,0.009952,0.000740,0.000534,0.001821,78498,0.910179
caas-1node,mpi,1000000,8,1,blockcyclic,1024,-,0,3,0.013122,0.000006,0.010046,0.009835,0.009950,0.000747,0.000636,0.001777,78498,0.912071
caas-1node,mpi,1000000,8,1,wblock,1024,-,0,1,0.014134,0.000006,0.011711,0.009281,0.009969,0.000660,0.000000,0.001758,78498,0.923944
caas-1node,mpi,1000000,8,1,wblock,1024,-,0,2,0.014141,0.000006,0.011710,0.009294,0.009968,0.000682,0.000000,0.001743,78498,0.917834
caas-1node,mpi,1000000,8,1,wblock,1024,-,0,3,0.014218,0.000006,0.011777,0.009277,0.009978,0.000688,0.000000,0.001747,78498,0.915235
caas-1node,mpi,2000000,8,1,block,1024,-,0,1,0.040042,0.000006,0.035647,0.011634,0.026127,0.025036,0.000000,0.003366,148933,0.958340
caas-1node,mpi,2000000,8,1,block,1024,-,0,2,0.039985,0.000006,0.035653,0.011629,0.026131,0.025083,0.000000,0.003267,148933,0.949424
caas-1node,mpi,2000000,8,1,block,1024,-,0,3,0.039985,0.000010,0.035689,0.011652,0.026133,0.025097,0.000000,0.003226,148933,0.941750
caas-1node,mpi,2000000,8,1,cyclic,1024,-,0,1,0.033910,0.000007,0.026235,0.026111,0.026181,0.001075,0.003422,0.003199,148933,0.936898
caas-1node,mpi,2000000,8,1,cyclic,1024,-,0,2,0.034102,0.000006,0.026263,0.026128,0.026187,0.001095,0.003613,0.003189,148933,0.934686
caas-1node,mpi,2000000,8,1,cyclic,1024,-,0,3,0.033903,0.000006,0.026230,0.026119,0.026179,0.001141,0.003400,0.003183,148933,0.933909
caas-1node,mpi,2000000,8,1,blockcyclic,1024,-,0,1,0.031536,0.000008,0.026431,0.026055,0.026267,0.001279,0.000996,0.003074,148933,0.934181
caas-1node,mpi,2000000,8,1,blockcyclic,1024,-,0,2,0.031693,0.000006,0.026449,0.025962,0.026155,0.001403,0.000985,0.003206,148933,0.943592
caas-1node,mpi,2000000,8,1,blockcyclic,1024,-,0,3,0.032825,0.000006,0.027697,0.025978,0.026541,0.002529,0.000991,0.003140,148933,0.938040
caas-1node,mpi,2000000,8,1,wblock,1024,-,0,1,0.035603,0.000006,0.030289,0.024528,0.026134,0.001028,0.000000,0.004281,148933,0.939278
caas-1node,mpi,2000000,8,1,wblock,1024,-,0,2,0.034819,0.000006,0.030264,0.024587,0.026155,0.001070,0.000000,0.003479,148933,0.934270
caas-1node,mpi,2000000,8,1,wblock,1024,-,0,3,0.034943,0.000010,0.030386,0.024587,0.026191,0.001036,0.000000,0.003510,148933,0.926605
caas-1node,mpi,4000000,8,1,block,1024,-,0,1,0.102084,0.000006,0.094592,0.030403,0.069092,0.065689,0.000000,0.005986,283146,1.000202
caas-1node,mpi,4000000,8,1,block,1024,-,0,2,0.102243,0.000006,0.094583,0.030303,0.069069,0.065876,0.000000,0.006058,283146,1.003976
caas-1node,mpi,4000000,8,1,block,1024,-,0,3,0.101771,0.000006,0.094525,0.030481,0.069094,0.065562,0.000000,0.005722,283146,0.997491
caas-1node,mpi,4000000,8,1,cyclic,1024,-,0,1,0.083226,0.000007,0.069205,0.068996,0.069125,0.001593,0.006653,0.005893,283146,0.984461
caas-1node,mpi,4000000,8,1,cyclic,1024,-,0,2,0.082905,0.000006,0.069220,0.069020,0.069146,0.001617,0.006464,0.005701,283146,0.985966
